label=Displacement
num_items=648

0:	0.000000e+000 0.000000e+000 
424:	-3.070552e-003 3.238626e-003 
425:	-1.937147e-003 2.111549e-003 
426:	-1.103976e-003 1.250034e-003 
427:	-5.142212e-004 6.384863e-004 
428:	-1.788136e-004 2.643577e-004 
429:	-4.993323e-006 3.769266e-005 
430:	2.565923e-006 -1.082675e-006 
431:	0.000000e+000 0.000000e+000 
432:	-8.390943e-003 1.415292e-002 
433:	-8.210743e-003 1.203916e-002 
434:	-8.101993e-003 1.063015e-002 
435:	-8.048044e-003 9.892668e-003 
436:	-7.793477e-003 9.387242e-003 
437:	-7.365037e-003 8.900184e-003 
438:	-6.734490e-003 8.305740e-003 
439:	-5.900557e-003 7.490595e-003 
440:	-4.878100e-003 6.415419e-003 
441:	-3.774414e-003 5.172125e-003 
442:	-2.745216e-003 3.905113e-003 
443:	-1.761670e-003 2.613333e-003 
444:	-9.856474e-004 1.502073e-003 
445:	-4.855450e-004 7.394268e-004 
446:	-1.991900e-004 3.170075e-004 
447:	-6.787731e-005 1.101677e-004 
448:	6.915132e-006 -3.159941e-006 
449:	0.000000e+000 0.000000e+000 
450:	-7.840645e-003 1.656673e-002 
451:	-7.189765e-003 1.446145e-002 
452:	-6.825354e-003 1.290726e-002 
453:	-6.749580e-003 1.202479e-002 
454:	-6.617012e-003 1.132958e-002 
455:	-6.379777e-003 1.067434e-002 
456:	-5.886481e-003 9.875056e-003 
457:	-5.166740e-003 8.808473e-003 
458:	-4.312378e-003 7.544664e-003 
459:	-3.350518e-003 6.058261e-003 
460:	-2.425640e-003 4.499271e-003 
461:	-1.642454e-003 3.100981e-003 
462:	-9.524956e-004 1.902861e-003 
463:	-4.620027e-004 9.726023e-004 
464:	-1.843189e-004 3.702194e-004 
465:	-5.620947e-005 9.695227e-005 
466:	-1.825118e-005 1.597528e-005 
467:	0.000000e+000 0.000000e+000 
468:	-7.204790e-003 1.884038e-002 
469:	-6.150691e-003 1.682508e-002 
470:	-5.590569e-003 1.525394e-002 
